NAME	B cells	Ductal cells 1	Myeloid & Macrophage	T and NK cells	Perivascular cells	Acinar cells	Activated DC	Fenestrated EC	Mast cells	pDCs	Plasma cells	myCAF	ICAF
HLA-DRB5	141.897 	18.498 	176.290 	26.619 	6.560 	47.227 	156.676 	56.919 	4.301 	131.274 	26.021 	6.032 	4.581 
PRMT10	17.806 	1.725 	20.958 	22.374 	7.333 	6.956 	7.706 	3.231 	10.508 	64.636 	5.996 	6.006 	5.605 
H2AFY2	1.000 	1.000 	3.384 	1.000 	2.719 	3.087 	16.366 	1.000 	2.890 	1.000 	1.000 	5.995 	1.056 
PLN	1.000 	1.000 	1.000 	1.000 	49.980 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	5.966 	1.000 
PIK3IP1	43.013 	10.455 	11.032 	65.209 	4.888 	8.043 	6.527 	7.692 	14.146 	4.452 	7.189 	5.926 	4.419 
PTP4A3	3.315 	1.000 	1.000 	5.463 	73.501 	16.940 	5.459 	27.532 	1.021 	9.592 	20.828 	5.840 	1.322 
ARID3A	5.701 	3.305 	6.728 	3.410 	4.238 	5.566 	11.018 	1.320 	4.716 	45.964 	15.431 	5.836 	1.445 
C1QTNF2	1.000 	1.000 	1.000 	1.000 	21.081 	1.000 	1.000 	1.520 	1.000 	1.000 	1.000 	5.802 	6.456 
EPAS1	2.009 	4.227 	3.044 	2.201 	49.569 	5.616 	1.340 	76.161 	13.984 	1.453 	1.404 	5.688 	10.315 
LEO1	5.173 	4.287 	3.211 	4.507 	3.465 	2.058 	2.400 	3.478 	37.248 	5.659 	2.209 	5.649 	5.686 
C16orf89	1.001 	1.000 	1.000 	1.004 	1.090 	1.000 	1.000 	1.000 	1.001 	1.000 	1.000 	5.607 	21.806 
CCL3	8.144 	5.669 	83.251 	18.126 	5.003 	33.913 	33.833 	9.133 	8.045 	11.154 	23.896 	5.575 	10.619 
GPR183	75.636 	4.238 	73.491 	50.548 	4.495 	26.944 	121.452 	5.665 	36.447 	186.277 	31.312 	5.565 	3.918 
EGFL6	1.000 	1.000 	1.000 	1.000 	26.599 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	5.510 	9.596 
SLC43A1	1.000 	1.310 	1.339 	1.000 	2.916 	35.218 	1.000 	1.000 	1.000 	1.000 	1.000 	5.501 	5.806 
TNXB	1.536 	1.017 	1.045 	1.662 	4.655 	1.331 	1.090 	15.657 	1.527 	1.185 	1.078 	5.406 	78.031 
MAP3K7CL	4.637 	1.215 	1.634 	2.942 	33.088 	1.428 	1.140 	2.270 	2.491 	1.292 	1.670 	5.337 	1.025 
PTGER2	1.000 	1.000 	3.279 	15.465 	1.869 	1.000 	1.000 	1.688 	6.958 	1.000 	1.547 	5.323 	3.713 
FAM13C	1.025 	1.000 	1.000 	1.036 	24.892 	1.003 	1.000 	11.814 	1.025 	1.000 	1.000 	5.272 	2.247 
NCALD	1.000 	1.000 	1.000 	3.395 	4.072 	1.000 	1.000 	6.391 	1.000 	1.000 	1.000 	5.251 	34.634 
CDH6	1.000 	1.000 	1.000 	1.000 	33.811 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	5.214 	1.957 
HEG1	1.000 	1.000 	1.000 	1.000 	5.402 	1.000 	2.216 	40.504 	4.764 	1.000 	1.000 	5.177 	14.316 
LST1	14.449 	3.104 	120.779 	12.771 	3.523 	27.967 	61.243 	6.143 	8.747 	15.753 	21.658 	5.176 	6.198 
LTB	165.880 	4.763 	19.167 	113.601 	6.399 	23.919 	9.931 	3.226 	11.996 	94.725 	12.739 	5.157 	1.802 
SFRP1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	3.410 	1.000 	1.000 	1.000 	5.119 	37.127 
CD53	110.148 	4.387 	71.597 	78.710 	3.660 	20.977 	25.635 	6.162 	47.157 	48.318 	34.987 	5.094 	4.458 
DCK	42.177 	4.038 	17.535 	24.805 	5.262 	3.926 	27.343 	5.058 	9.059 	65.992 	3.744 	5.059 	3.360 
PLA2G2A	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.032 	1.000 	1.000 	5.058 	161.255 
INSR	1.000 	17.605 	4.126 	1.000 	4.703 	35.569 	2.036 	89.330 	1.000 	10.944 	9.376 	5.037 	10.260 
VWA1	1.000 	7.821 	1.000 	1.000 	3.798 	36.648 	1.000 	87.937 	1.000 	1.000 	1.000 	5.034 	4.853 
CTRB1	4.098 	1.440 	6.017 	4.861 	5.140 	349.888 	4.665 	5.200 	3.369 	1.635 	13.661 	4.983 	1.966 
RAMP2	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.023 	201.615 	1.000 	1.000 	2.154 	4.924 	15.551 
AC020571.3	2.032 	1.050 	1.157 	4.146 	1.092 	1.781 	1.360 	1.077 	17.323 	1.492 	1.329 	4.900 	1.066 
NFKB1	7.148 	3.351 	13.225 	6.802 	3.709 	5.705 	65.854 	8.343 	10.371 	11.437 	4.626 	4.880 	11.552 
APLNR	1.000 	1.000 	1.000 	1.000 	2.556 	1.000 	1.000 	25.253 	1.000 	1.000 	1.000 	4.842 	1.560 
C1QC	9.213 	3.907 	113.335 	5.973 	7.380 	48.185 	11.854 	15.571 	13.639 	3.348 	22.044 	4.822 	5.143 
CPVL	3.464 	1.440 	66.766 	2.049 	1.875 	18.186 	7.846 	5.399 	1.833 	7.613 	8.489 	4.815 	12.463 
DAG1	1.000 	6.406 	1.000 	1.000 	5.182 	33.467 	1.000 	4.643 	3.442 	1.765 	1.425 	4.798 	3.319 
SLIT3	1.000 	1.000 	1.000 	1.000 	24.011 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	4.784 	38.723 
SVEP1	1.448 	1.002 	1.034 	1.512 	1.273 	1.323 	1.064 	1.006 	1.445 	1.116 	1.058 	4.765 	29.023 
CD14	10.945 	4.613 	128.691 	6.444 	7.035 	30.227 	6.748 	15.027 	5.949 	3.511 	22.754 	4.698 	7.409 
CD83	101.978 	4.146 	67.888 	27.300 	5.143 	34.486 	184.205 	6.436 	63.507 	61.869 	20.730 	4.692 	5.881 
DUSP5	4.821 	12.152 	7.876 	10.064 	3.616 	2.370 	68.838 	8.865 	5.360 	71.048 	28.957 	4.688 	12.795 
CD37	176.290 	3.831 	64.125 	86.689 	5.838 	28.290 	31.961 	7.423 	84.505 	88.089 	25.099 	4.678 	3.340 
ST6GALNAC4	8.123 	1.374 	4.437 	3.812 	4.347 	9.356 	1.000 	4.222 	3.945 	27.836 	33.803 	4.664 	3.973 
S100A9	12.328 	8.309 	117.069 	9.506 	11.258 	11.087 	13.331 	8.138 	11.073 	3.050 	27.757 	4.598 	14.381 
AOC3	1.688 	1.017 	1.058 	1.795 	26.818 	1.408 	1.139 	11.353 	1.679 	1.263 	1.121 	4.596 	4.598 
KIF2A	6.652 	2.760 	3.735 	13.956 	4.304 	5.497 	42.414 	2.437 	1.613 	6.670 	4.602 	4.569 	3.559 
TBC1D4	1.096 	1.116 	3.848 	12.710 	3.223 	3.952 	53.575 	4.879 	4.821 	17.180 	1.014 	4.557 	1.287 
OPN3	6.656 	3.564 	10.240 	1.000 	1.667 	1.233 	24.013 	2.293 	4.541 	51.119 	3.940 	4.554 	1.896 
PLEKHF2	31.848 	6.717 	7.106 	7.192 	4.725 	3.388 	4.703 	2.244 	18.963 	6.753 	4.079 	4.545 	2.919 
LMOD1	2.377 	1.079 	1.298 	2.709 	30.587 	1.975 	1.504 	1.112 	2.363 	1.736 	1.457 	4.535 	2.085 
CAMK2N1	1.060 	27.442 	1.000 	1.075 	12.327 	1.040 	1.001 	1.000 	1.058 	1.008 	1.001 	4.534 	8.110 
QPRT	1.000 	1.900 	4.869 	1.000 	3.365 	10.608 	4.856 	1.000 	2.801 	1.000 	29.338 	4.517 	6.889 
ORAI2	48.320 	1.566 	7.834 	6.726 	4.935 	4.324 	11.181 	10.029 	3.750 	11.478 	18.269 	4.513 	4.574 
POGLUT1	5.139 	2.709 	4.104 	5.135 	4.875 	2.204 	36.989 	6.717 	1.031 	2.355 	4.198 	4.499 	6.083 
JAM2	1.050 	1.000 	1.206 	1.057 	1.000 	1.028 	1.000 	41.913 	1.047 	1.003 	1.001 	4.473 	6.183 
FLT3LG	2.174 	1.327 	1.041 	16.510 	2.993 	5.214 	1.800 	2.148 	5.771 	1.102 	3.013 	4.420 	2.005 
