NAME	B cells	Ductal cells 1	Myeloid & Macrophage	T and NK cells	Perivascular cells	Acinar cells	Activated DC	Fenestrated EC	Mast cells	pDCs	Plasma cells	myCAF	ICAF
PRKCH	1.702 	1.118 	5.593 	32.613 	1.650 	6.820 	3.194 	21.634 	4.558 	1.920 	2.042 	1.695 	1.110 
OXNAD1	1.102 	1.317 	1.628 	23.251 	1.000 	1.060 	6.900 	2.020 	9.733 	2.307 	3.154 	1.694 	1.000 
CALCRL	2.499 	1.104 	1.360 	2.821 	2.264 	2.004 	13.950 	69.089 	2.478 	7.341 	1.666 	1.694 	1.799 
SLC17A9	4.288 	7.431 	2.529 	1.075 	1.000 	2.006 	1.001 	1.000 	1.056 	1.008 	24.784 	1.689 	1.000 
CLIC3	2.858 	36.200 	1.432 	10.129 	1.455 	1.714 	13.617 	3.584 	4.358 	131.274 	5.045 	1.679 	4.276 
PIM2	28.597 	1.923 	6.357 	29.758 	1.042 	7.821 	22.135 	1.975 	12.273 	42.737 	123.829 	1.678 	3.462 
TSPAN15	1.011 	17.831 	6.429 	1.028 	5.925 	6.055 	30.139 	14.698 	1.008 	1.000 	1.454 	1.676 	1.069 
GATA2	1.665 	1.016 	1.054 	1.772 	2.033 	1.894 	1.125 	8.638 	122.791 	1.249 	1.119 	1.672 	1.039 
SIT1	29.120 	1.050 	1.413 	31.744 	1.099 	7.054 	1.352 	3.347 	2.522 	22.527 	5.747 	1.662 	1.052 
MT1A	1.043 	1.066 	1.000 	1.051 	48.218 	1.037 	1.000 	8.046 	1.042 	1.001 	1.000 	1.660 	45.192 
NKG7	6.463 	1.000 	9.698 	82.273 	4.087 	4.211 	1.000 	3.687 	14.627 	13.549 	9.798 	1.652 	2.600 
RALGPS2	35.087 	5.275 	1.444 	1.000 	1.425 	2.376 	1.000 	1.000 	2.260 	5.031 	15.866 	1.635 	5.037 
CLPS	1.291 	1.198 	4.322 	3.369 	1.997 	313.848 	8.764 	3.565 	6.671 	1.050 	8.373 	1.632 	1.181 
AMICA1	3.536 	1.000 	49.613 	27.526 	2.159 	7.098 	18.732 	3.581 	4.351 	90.301 	7.106 	1.631 	2.094 
BCAM	1.035 	3.946 	1.000 	1.044 	51.479 	10.349 	2.288 	70.864 	1.036 	1.001 	1.000 	1.626 	1.865 
PAK3	1.017 	1.000 	1.000 	1.030 	1.000 	14.942 	1.000 	1.000 	1.017 	1.000 	1.000 	1.623 	2.159 
C5AR1	1.000 	1.483 	37.408 	1.000 	1.998 	8.831 	8.390 	2.391 	1.000 	1.000 	3.013 	1.617 	2.033 
CSF1R	4.534 	1.050 	63.368 	1.000 	3.060 	17.188 	11.716 	1.384 	1.000 	9.232 	9.125 	1.616 	1.723 
P2RY14	4.934 	1.000 	3.499 	1.000 	2.021 	1.000 	8.366 	1.000 	22.611 	28.536 	1.000 	1.612 	1.000 
SLC38A1	26.134 	9.110 	3.545 	29.554 	3.768 	4.257 	7.504 	2.013 	1.000 	23.531 	14.028 	1.605 	1.000 
IL16	51.079 	1.000 	12.955 	27.397 	1.243 	5.912 	4.754 	3.992 	9.575 	25.116 	16.778 	1.601 	1.598 
LY86	65.488 	1.695 	52.068 	4.400 	1.322 	13.809 	11.923 	3.904 	1.000 	4.295 	9.108 	1.592 	1.735 
CD3E	4.219 	1.000 	2.314 	121.117 	1.470 	6.254 	1.000 	3.144 	1.000 	6.261 	7.875 	1.587 	1.000 
GNG7	31.356 	1.000 	6.395 	1.000 	1.000 	6.395 	8.479 	6.342 	7.484 	28.107 	41.784 	1.567 	1.782 
TMEM97	1.000 	4.309 	2.269 	1.000 	1.000 	75.022 	1.000 	1.000 	1.000 	1.000 	1.389 	1.560 	2.030 
HS3ST3B1	1.015 	1.000 	2.669 	7.031 	1.000 	1.003 	7.682 	1.000 	1.009 	19.016 	1.000 	1.552 	1.274 
RNASE6	57.470 	1.684 	61.677 	2.592 	1.992 	11.820 	1.000 	4.661 	4.749 	84.211 	16.951 	1.548 	2.403 
TSPAN7	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	27.099 	4.826 	1.000 	1.000 	1.542 	1.000 
KCNK1	1.039 	33.279 	1.000 	1.049 	1.000 	1.028 	1.000 	1.000 	1.039 	3.806 	1.000 	1.539 	3.094 
SLC19A2	1.124 	1.584 	1.930 	1.206 	1.001 	1.340 	1.014 	1.127 	1.202 	1.042 	1.751 	1.524 	39.252 
MEDAG	1.216 	1.000 	1.003 	1.267 	3.145 	1.074 	1.027 	1.234 	1.209 	1.046 	1.024 	1.507 	67.422 
ARNTL2	1.000 	2.421 	1.000 	1.000 	1.000 	1.000 	12.528 	1.000 	1.000 	1.000 	1.000 	1.502 	1.000 
EFNA1	1.482 	39.183 	1.042 	1.649 	4.572 	6.345 	1.075 	36.989 	1.475 	3.157 	1.313 	1.492 	2.123 
PTPN6	60.757 	4.983 	34.068 	21.185 	2.698 	9.633 	10.317 	7.938 	48.108 	26.075 	17.081 	1.483 	1.056 
TRAF3IP3	43.417 	1.000 	11.091 	49.947 	1.279 	7.685 	8.590 	3.092 	23.530 	10.028 	13.479 	1.473 	1.000 
FGFRL1	1.000 	2.094 	1.000 	1.001 	1.000 	20.531 	1.000 	1.000 	1.000 	1.000 	2.568 	1.468 	2.228 
C3AR1	2.286 	1.096 	33.987 	4.400 	1.127 	5.306 	3.795 	1.658 	14.726 	1.545 	4.350 	1.465 	1.082 
FCN1	1.000 	1.000 	54.175 	1.000 	3.631 	5.682 	1.000 	1.000 	1.000 	2.989 	6.904 	1.458 	8.815 
PTPN7	23.374 	1.000 	10.697 	36.640 	1.000 	4.041 	5.512 	1.593 	37.167 	9.813 	21.828 	1.456 	1.127 
CD2	4.534 	1.000 	6.684 	133.896 	2.535 	17.877 	1.750 	1.339 	4.700 	3.341 	6.667 	1.455 	1.983 
MS4A7	12.407 	1.376 	71.597 	3.367 	1.000 	17.126 	17.950 	2.591 	1.000 	3.145 	8.388 	1.454 	3.399 
VASH2	1.489 	1.006 	1.039 	1.603 	1.038 	1.400 	1.076 	1.020 	1.481 	15.057 	1.065 	1.451 	1.632 
TESC	3.516 	37.387 	5.395 	4.850 	9.760 	38.617 	1.000 	6.842 	30.745 	1.000 	2.050 	1.451 	1.000 
SERP2	1.000 	1.782 	1.000 	1.000 	2.906 	1.000 	1.000 	1.000 	16.276 	1.000 	1.000 	1.444 	1.260 
ATP6V0A2	4.277 	1.389 	3.324 	3.893 	3.472 	1.000 	11.136 	2.985 	26.322 	9.002 	2.980 	1.437 	3.277 
LAT	1.000 	1.000 	2.222 	47.360 	2.130 	5.031 	1.000 	1.827 	61.549 	1.000 	4.308 	1.433 	1.000 
NCF2	3.631 	1.683 	35.357 	2.189 	2.798 	5.068 	8.887 	1.191 	1.971 	4.007 	5.356 	1.429 	1.077 
CYFIP2	15.253 	1.105 	1.955 	16.228 	4.162 	1.078 	4.564 	1.000 	2.183 	27.417 	5.213 	1.427 	1.000 
TINAGL1	2.212 	45.705 	1.288 	2.496 	118.915 	3.382 	2.922 	43.612 	22.346 	1.665 	1.510 	1.423 	1.450 
C10orf128	13.045 	1.000 	10.003 	7.300 	1.474 	2.152 	5.273 	15.746 	31.889 	1.000 	3.381 	1.422 	1.000 
KRT19	1.073 	217.697 	1.890 	1.115 	1.329 	4.815 	1.884 	1.059 	8.481 	1.017 	6.503 	1.419 	7.898 
GZMK	4.405 	1.072 	1.666 	71.411 	1.458 	2.052 	1.436 	1.087 	7.097 	1.696 	6.044 	1.414 	1.136 
LINC00649	1.503 	2.300 	1.038 	14.759 	1.021 	1.300 	1.063 	1.005 	1.442 	1.135 	1.963 	1.411 	1.006 
CHN2	1.036 	1.973 	6.590 	1.047 	1.000 	4.824 	1.000 	1.315 	14.704 	2.103 	1.000 	1.399 	1.413 
CHST7	1.000 	1.000 	1.781 	3.855 	4.295 	1.000 	16.413 	4.939 	1.000 	1.000 	1.000 	1.392 	3.578 
ICAM2	12.380 	1.512 	6.592 	13.168 	4.104 	5.251 	2.250 	70.151 	9.779 	3.931 	47.597 	1.387 	3.158 
MROH1	1.000 	5.007 	3.044 	1.000 	1.262 	28.650 	5.071 	1.000 	4.414 	3.357 	2.124 	1.383 	1.743 
MIR142	52.099 	1.076 	15.893 	18.126 	1.823 	4.353 	17.313 	1.536 	11.746 	32.391 	9.451 	1.383 	1.308 
PAIP2B	3.211 	1.000 	1.000 	1.000 	1.000 	20.983 	1.000 	1.000 	1.000 	3.199 	16.163 	1.381 	1.000 
RAMP3	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	108.293 	1.000 	1.000 	1.000 	1.378 	1.000 
LGALS4	1.153 	97.832 	1.010 	1.182 	1.000 	6.950 	1.788 	1.000 	4.814 	1.035 	3.625 	1.364 	1.000 
SLPI	1.006 	156.170 	2.060 	1.012 	1.773 	6.042 	1.000 	2.055 	3.629 	1.000 	4.147 	1.364 	10.933 
PTX3	1.000 	1.000 	4.077 	1.000 	1.000 	1.000 	1.000 	1.739 	1.000 	1.000 	1.000 	1.363 	33.529 
TEX11	1.000 	1.000 	1.000 	1.000 	1.000 	19.217 	1.000 	1.000 	1.000 	1.000 	1.000 	1.361 	1.000 
ELF3	1.027 	190.626 	1.374 	1.035 	1.465 	75.749 	1.000 	1.698 	3.972 	2.079 	7.965 	1.354 	1.162 
KLRB1	4.326 	1.000 	3.358 	93.045 	1.574 	5.516 	4.235 	4.625 	6.433 	2.890 	8.658 	1.352 	1.000 
ACTG2	1.081 	1.000 	1.000 	1.129 	24.683 	1.057 	1.006 	1.000 	1.079 	1.021 	1.003 	1.351 	1.000 
KIAA0226L	23.945 	1.000 	4.643 	1.000 	1.000 	1.474 	1.000 	1.000 	1.000 	24.940 	1.000 	1.346 	1.361 
CYBB	26.261 	1.038 	55.043 	1.000 	1.000 	8.034 	5.664 	1.427 	1.000 	31.512 	6.966 	1.344 	1.135 
ATP13A2	2.819 	6.773 	2.000 	3.541 	1.834 	8.948 	1.000 	7.088 	3.945 	24.653 	1.000 	1.344 	1.049 
LSR	4.295 	61.363 	1.414 	7.127 	3.384 	34.601 	3.172 	8.622 	6.213 	1.000 	13.760 	1.328 	1.669 
FXYD3	1.000 	139.785 	1.583 	1.000 	1.000 	17.886 	2.036 	1.000 	4.951 	1.000 	3.883 	1.327 	1.000 
TSEN54	5.414 	3.603 	4.032 	19.189 	4.146 	2.692 	5.059 	2.339 	37.810 	17.480 	4.277 	1.325 	1.482 
B9D1	1.000 	2.111 	1.000 	1.000 	1.282 	5.635 	1.000 	1.000 	1.000 	1.000 	17.366 	1.324 	1.608 
MT1G	1.050 	31.681 	4.711 	1.063 	2.246 	150.886 	2.001 	2.132 	1.058 	1.003 	5.660 	1.323 	12.749 
ELTD1	2.163 	1.061 	1.226 	2.358 	1.148 	2.004 	1.438 	74.092 	2.156 	1.623 	1.397 	1.322 	1.081 
TMEM8B	1.000 	1.787 	1.524 	1.000 	2.008 	1.000 	1.000 	1.000 	1.000 	18.613 	1.000 	1.322 	1.129 
EGOT	1.000 	2.609 	1.000 	1.000 	1.000 	1.000 	13.391 	3.608 	2.351 	1.000 	1.000 	1.314 	1.000 
PSAT1	1.000 	3.947 	1.000 	1.000 	1.213 	4.504 	1.000 	1.000 	2.123 	1.000 	11.408 	1.309 	1.000 
ERG	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	26.935 	9.341 	1.000 	1.000 	1.308 	1.000 
CTC-479C5.12	5.547 	3.449 	3.287 	4.111 	1.466 	76.376 	4.597 	2.408 	3.806 	5.071 	3.549 	1.306 	1.000 
SEL1L3	24.689 	13.482 	5.900 	7.224 	1.069 	5.979 	9.353 	2.692 	1.964 	45.427 	60.125 	1.305 	1.291 
GP2	1.000 	2.170 	1.000 	1.000 	1.000 	221.790 	2.510 	1.000 	3.702 	1.000 	2.131 	1.302 	1.000 
GATM	7.075 	7.355 	13.512 	1.000 	2.895 	144.140 	1.000 	1.235 	5.030 	4.554 	4.240 	1.300 	1.000 
CD70	10.204 	1.000 	1.000 	6.735 	1.000 	6.449 	19.951 	1.000 	2.649 	1.000 	3.098 	1.297 	3.693 
ALOX5	20.423 	13.640 	34.452 	1.000 	1.000 	21.312 	18.788 	3.986 	58.002 	3.543 	7.673 	1.297 	1.000 
EPS8L1	1.218 	50.775 	1.332 	1.280 	3.794 	2.814 	1.029 	1.674 	1.213 	1.057 	1.037 	1.289 	1.000 
EGFL7	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	113.322 	4.733 	3.083 	1.000 	1.283 	1.789 
CD27	35.813 	1.000 	1.462 	50.356 	1.659 	7.499 	4.554 	1.000 	1.000 	1.000 	82.808 	1.282 	1.296 
CD6	2.364 	1.000 	1.987 	36.885 	1.000 	3.146 	2.157 	1.000 	3.490 	1.000 	1.000 	1.281 	1.000 
MEI1	4.904 	1.000 	2.150 	10.448 	1.429 	2.878 	4.992 	1.000 	6.188 	1.000 	48.777 	1.281 	1.000 
SHC2	1.965 	1.647 	1.111 	2.051 	1.790 	20.631 	1.308 	3.618 	1.962 	1.423 	1.260 	1.280 	1.060 
GSTA1	1.000 	5.748 	1.000 	1.000 	1.000 	34.502 	1.000 	1.000 	1.000 	1.000 	1.000 	1.273 	1.000 
LTC4S	1.000 	1.928 	14.307 	3.273 	1.000 	2.212 	1.000 	7.427 	126.768 	1.000 	14.349 	1.270 	3.840 
PLD4	10.153 	1.000 	29.167 	1.000 	1.000 	5.704 	15.592 	2.205 	1.000 	148.142 	4.343 	1.267 	1.000 
BIN2	16.990 	1.000 	16.423 	42.737 	1.000 	4.348 	3.416 	1.000 	17.945 	16.901 	13.020 	1.266 	1.000 
RAB33A	4.240 	1.000 	1.000 	8.550 	1.000 	1.000 	1.000 	1.000 	16.221 	1.000 	1.000 	1.257 	1.000 
LCN2	2.271 	179.159 	2.357 	1.917 	1.062 	15.128 	4.792 	2.677 	4.919 	2.160 	6.494 	1.255 	1.047 
FBP1	4.408 	19.238 	32.684 	1.000 	1.416 	7.637 	8.343 	1.089 	16.202 	9.183 	13.222 	1.254 	1.156 
FAM26F	25.626 	1.000 	35.647 	1.082 	1.952 	11.321 	19.711 	1.435 	1.048 	6.691 	4.742 	1.253 	2.411 
PSCA	1.000 	81.068 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.919 	1.000 	1.844 	1.252 	1.000 
BCL2A1	23.303 	1.994 	57.470 	9.855 	1.000 	13.916 	90.462 	1.240 	23.822 	4.327 	9.777 	1.251 	6.933 
PALMD	1.000 	1.000 	1.000 	1.000 	2.156 	1.000 	1.000 	46.473 	1.000 	1.000 	1.000 	1.246 	1.485 
HIVEP1	4.244 	1.667 	2.093 	1.071 	2.035 	1.102 	10.673 	4.307 	5.777 	25.054 	3.816 	1.244 	5.568 
GRB7	1.253 	25.278 	1.007 	1.322 	1.001 	11.279 	1.035 	1.000 	1.245 	1.052 	1.033 	1.242 	1.000 
DDR1	1.000 	24.865 	1.339 	1.000 	2.619 	11.869 	1.596 	1.793 	1.000 	1.000 	1.000 	1.240 	1.467 
CD3G	1.000 	1.000 	1.000 	60.655 	1.667 	3.366 	1.772 	1.924 	4.383 	1.000 	1.000 	1.237 	1.000 
MZB1	14.264 	1.031 	1.519 	4.291 	1.000 	1.211 	6.919 	1.708 	1.173 	82.676 	323.351 	1.237 	1.704 
ADAMTS9	1.003 	1.434 	1.000 	1.008 	21.703 	1.000 	1.000 	40.293 	1.003 	1.000 	1.000 	1.236 	3.661 
PSORS1C1	1.000 	20.515 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.232 	1.276 
SLC45A3	1.806 	2.223 	1.159 	1.000 	1.000 	1.000 	1.000 	1.000 	49.565 	1.000 	1.000 	1.224 	1.000 
PRKCB	27.628 	1.000 	12.174 	8.498 	1.000 	1.033 	12.523 	1.000 	13.115 	40.745 	5.209 	1.219 	1.028 
GNLY	3.415 	1.000 	3.668 	39.519 	2.347 	5.767 	1.000 	2.676 	1.000 	2.038 	7.228 	1.219 	2.817 
C11orf80	3.295 	3.395 	1.000 	1.000 	1.000 	1.000 	3.147 	3.419 	1.000 	1.000 	16.422 	1.215 	1.000 
FICD	1.000 	1.000 	1.000 	1.000 	1.084 	3.713 	1.000 	1.000 	1.000 	3.098 	12.414 	1.208 	1.903 
FAM46C	13.712 	1.670 	2.908 	18.644 	2.004 	6.486 	1.000 	1.000 	9.521 	5.611 	77.252 	1.206 	4.794 
NOTCH4	1.878 	1.037 	1.140 	1.909 	3.308 	1.501 	2.809 	62.065 	1.773 	10.544 	1.246 	1.205 	1.035 
SUSD1	1.000 	1.196 	4.328 	1.000 	1.000 	3.394 	8.981 	1.000 	4.342 	32.063 	1.000 	1.199 	1.921 
GPR65	22.480 	1.000 	19.493 	22.722 	1.069 	5.433 	8.648 	1.457 	65.999 	67.114 	3.922 	1.194 	1.000 
CTDP1	2.473 	1.497 	3.598 	4.083 	2.090 	2.103 	4.373 	2.974 	9.366 	22.520 	2.076 	1.178 	2.539 
BCAS4	23.040 	3.342 	1.000 	4.667 	3.630 	1.000 	1.000 	1.000 	1.000 	3.499 	3.439 	1.159 	1.000 
TXNDC5	1.918 	1.042 	1.108 	2.012 	1.059 	1.678 	1.272 	1.046 	1.915 	1.429 	13.770 	1.158 	1.055 
IL1RL1	1.416 	1.001 	1.030 	1.506 	1.015 	1.217 	1.058 	1.021 	67.967 	1.099 	1.053 	1.156 	1.007 
TFF2	1.000 	89.894 	1.000 	1.000 	1.000 	1.000 	1.000 	1.439 	1.000 	1.000 	1.000 	1.154 	1.000 
RASSF4	1.859 	2.263 	31.876 	1.931 	5.734 	11.423 	123.152 	1.179 	1.715 	3.878 	4.998 	1.149 	5.452 
AOAH	2.066 	1.021 	24.587 	10.655 	2.258 	8.086 	9.408 	1.386 	2.545 	1.262 	4.124 	1.146 	1.783 
FCGR2B	30.027 	1.016 	28.949 	1.570 	1.015 	3.012 	4.951 	2.145 	1.424 	1.117 	24.013 	1.142 	1.476 
ABI3	15.796 	1.936 	28.410 	18.253 	1.990 	8.647 	1.021 	22.816 	2.976 	1.857 	6.660 	1.141 	1.001 
AREG	5.692 	9.014 	9.341 	7.279 	1.000 	1.000 	13.471 	8.719 	58.987 	24.920 	5.014 	1.139 	1.000 
SCN9A	1.000 	3.182 	1.000 	1.000 	1.000 	11.195 	1.000 	1.000 	1.000 	13.410 	1.000 	1.135 	1.441 
CPM	1.000 	2.564 	15.818 	1.000 	17.368 	4.538 	4.693 	2.847 	32.081 	1.000 	1.000 	1.125 	1.742 
VSIG4	3.409 	1.551 	45.840 	1.000 	1.417 	12.688 	4.659 	1.778 	1.000 	1.000 	4.997 	1.124 	1.744 
VILL	3.680 	37.128 	1.348 	3.875 	1.457 	1.221 	1.800 	1.013 	4.172 	4.010 	3.740 	1.123 	1.668 
TFF3	1.000 	97.832 	1.000 	1.000 	1.000 	4.638 	1.000 	16.311 	3.339 	1.000 	2.707 	1.118 	1.000 
SLCO5A1	1.577 	1.006 	1.045 	1.651 	1.035 	1.322 	21.205 	1.022 	1.514 	1.177 	3.372 	1.118 	1.014 
GPR171	1.467 	1.002 	1.475 	36.797 	1.018 	1.370 	6.525 	1.033 	2.476 	3.874 	1.297 	1.114 	1.003 
LAIR1	12.266 	1.492 	30.310 	7.269 	2.623 	7.901 	1.000 	2.267 	27.066 	23.898 	5.704 	1.113 	1.107 
BATF	4.163 	11.467 	6.077 	31.402 	1.326 	6.415 	10.695 	1.000 	23.712 	1.000 	4.803 	1.111 	1.000 
KLRD1	1.000 	1.000 	1.000 	20.719 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.108 	1.000 
SDCBP2	1.770 	56.601 	1.074 	1.913 	1.486 	6.999 	1.180 	2.930 	3.869 	1.329 	1.179 	1.106 	1.030 
IL15	4.240 	2.876 	3.786 	1.000 	2.047 	3.531 	29.092 	8.065 	1.000 	1.000 	5.275 	1.106 	1.366 
FCGR1A	1.458 	1.033 	40.318 	1.563 	1.021 	9.736 	1.060 	1.284 	1.502 	1.117 	3.600 	1.104 	1.287 
NPL	1.000 	1.000 	16.077 	1.002 	1.000 	4.106 	3.542 	1.000 	4.200 	1.000 	3.797 	1.101 	1.000 
POLB	3.492 	5.235 	2.412 	1.000 	1.000 	1.880 	1.000 	1.931 	1.000 	27.292 	1.982 	1.098 	1.267 
CCR10	1.000 	1.000 	1.000 	1.000 	6.641 	1.000 	1.000 	1.000 	1.000 	2.392 	37.426 	1.097 	1.000 
HLA-DQA2	58.141 	1.080 	74.917 	7.700 	1.000 	26.174 	82.676 	8.828 	6.771 	60.353 	9.067 	1.093 	1.000 
HCK	2.854 	1.000 	41.274 	1.000 	1.000 	11.069 	61.741 	2.084 	5.039 	7.405 	4.132 	1.088 	2.701 
FAM65B	39.123 	1.000 	6.149 	15.566 	4.314 	1.000 	1.000 	1.000 	7.605 	10.535 	2.452 	1.086 	1.000 
FAM212A	7.315 	1.000 	1.000 	1.000 	5.718 	1.000 	1.000 	11.824 	27.527 	3.165 	1.000 	1.085 	1.000 
S100A2	1.000 	24.818 	1.000 	1.000 	1.000 	1.000 	2.332 	1.284 	3.507 	1.000 	1.000 	1.079 	2.176 
SLAMF8	1.358 	1.002 	13.835 	1.398 	1.005 	3.664 	1.977 	1.168 	1.323 	1.065 	1.918 	1.079 	1.002 
ANK2	1.725 	1.020 	1.062 	1.854 	5.428 	1.488 	1.167 	1.037 	1.718 	1.289 	1.138 	1.076 	35.323 
TBXAS1	4.732 	2.363 	38.209 	3.174 	1.262 	10.930 	3.857 	3.243 	18.795 	8.140 	15.413 	1.075 	1.120 
CD93	1.000 	1.000 	20.413 	1.000 	1.753 	2.253 	3.407 	75.127 	1.000 	2.588 	1.750 	1.075 	1.000 
CBFA2T3	6.083 	1.000 	1.421 	1.000 	6.725 	4.566 	2.153 	1.100 	1.000 	16.563 	3.380 	1.074 	1.000 
LAT2	34.036 	1.424 	27.836 	5.635 	1.850 	6.565 	7.814 	1.319 	58.435 	1.590 	10.235 	1.073 	1.326 
CLDN4	1.000 	150.409 	1.535 	1.000 	1.295 	39.629 	1.000 	1.000 	4.193 	1.000 	5.516 	1.073 	1.736 
SYCN	1.000 	1.000 	1.774 	1.000 	1.000 	255.106 	1.000 	1.881 	1.000 	1.000 	4.440 	1.072 	1.000 
GPX2	1.000 	57.368 	1.000 	1.000 	1.000 	4.123 	3.398 	1.000 	1.000 	1.000 	1.648 	1.069 	1.000 
IFT172	1.000 	28.456 	1.000 	1.000 	1.000 	5.677 	1.000 	1.124 	1.000 	1.000 	1.000 	1.068 	1.000 
EPHA2	1.000 	27.548 	1.374 	1.000 	8.432 	1.000 	1.000 	3.136 	1.000 	12.671 	1.000 	1.068 	1.949 
CLEC2D	14.143 	1.000 	2.418 	24.833 	1.000 	3.188 	2.046 	1.244 	2.581 	1.707 	3.134 	1.068 	1.218 
GNA15	1.426 	6.026 	22.680 	6.471 	1.021 	6.404 	15.690 	4.246 	20.964 	48.356 	3.953 	1.066 	1.062 
SLA	19.603 	1.000 	29.431 	45.870 	1.622 	6.422 	10.138 	3.641 	26.820 	3.903 	6.662 	1.065 	1.273 
C19orf33	2.224 	171.096 	1.660 	2.543 	1.138 	2.628 	1.452 	1.149 	5.988 	2.361 	2.474 	1.065 	1.120 
TTYH2	1.000 	1.000 	2.787 	1.000 	1.562 	1.946 	26.232 	4.017 	1.000 	4.752 	1.000 	1.064 	2.290 
CPA2	1.766 	1.309 	1.957 	1.862 	1.050 	298.717 	4.453 	1.031 	1.720 	1.289 	4.549 	1.064 	1.038 
LCK	9.066 	2.387 	2.039 	74.711 	1.727 	10.499 	1.000 	3.250 	5.797 	1.000 	3.568 	1.063 	1.128 
CSF2RA	1.000 	1.115 	32.301 	1.000 	1.000 	6.514 	102.164 	1.000 	4.317 	25.412 	4.388 	1.062 	2.844 
KCNK17	1.000 	1.000 	1.000 	1.000 	21.696 	1.000 	1.000 	1.000 	1.000 	13.463 	1.000 	1.062 	1.000 
CYP3A5	1.037 	79.329 	1.000 	1.049 	1.237 	5.965 	1.000 	2.073 	2.001 	1.490 	1.861 	1.061 	1.000 
CHAF1A	1.000 	1.240 	3.020 	1.000 	1.000 	1.000 	5.323 	1.000 	4.015 	17.335 	1.000 	1.061 	1.000 
MCAM	1.000 	1.000 	1.000 	1.000 	50.095 	1.000 	1.000 	34.790 	1.000 	1.000 	1.000 	1.059 	1.000 
SH2D2A	1.852 	1.032 	1.110 	27.326 	1.722 	3.484 	2.070 	1.036 	10.448 	3.351 	1.602 	1.059 	1.046 
CXCR6	1.000 	1.000 	1.000 	22.201 	1.000 	3.105 	1.000 	1.000 	1.000 	1.000 	1.521 	1.058 	1.000 
RUNX3	11.384 	1.059 	9.405 	29.587 	1.135 	5.266 	15.704 	2.633 	4.398 	6.338 	4.473 	1.057 	1.061 
SLAMF7	1.395 	1.001 	2.535 	6.087 	1.003 	1.231 	15.986 	1.558 	1.324 	16.001 	46.961 	1.055 	1.000 
PTGS1	3.287 	1.000 	16.746 	1.000 	1.494 	4.374 	4.428 	1.996 	53.480 	1.000 	3.508 	1.055 	10.526 
CELA3B	1.087 	1.000 	2.207 	1.170 	1.000 	309.598 	1.006 	1.444 	1.080 	1.024 	4.647 	1.055 	1.113 
RP11-1143G9.4	3.236 	28.422 	46.314 	3.135 	1.963 	6.755 	13.014 	1.073 	3.843 	4.915 	4.980 	1.054 	4.496 
LAG3	2.001 	1.242 	2.050 	16.656 	1.677 	2.545 	3.755 	1.098 	1.987 	1.571 	3.679 	1.053 	2.280 
ZNF385D	1.278 	1.000 	1.009 	1.341 	1.840 	1.138 	1.037 	21.833 	2.278 	1.057 	1.034 	1.053 	1.001 
CDCA7L	16.397 	4.590 	2.021 	1.000 	4.406 	5.071 	1.000 	1.000 	10.700 	10.547 	2.702 	1.052 	2.095 
PSTPIP1	3.942 	2.143 	8.213 	16.892 	1.266 	3.894 	4.696 	1.131 	4.243 	3.236 	2.210 	1.051 	1.425 
TUBB2B	1.081 	1.000 	1.000 	1.114 	1.621 	1.053 	18.029 	1.000 	1.079 	1.021 	1.013 	1.051 	7.294 
C19orf59	2.317 	1.081 	20.934 	2.544 	1.216 	4.077 	1.448 	1.081 	2.588 	1.744 	2.296 	1.050 	1.146 
SAMD3	2.515 	1.088 	1.321 	19.178 	1.254 	2.016 	1.514 	1.189 	2.405 	1.753 	1.564 	1.050 	1.120 
CTSW	4.460 	1.139 	3.942 	65.998 	1.339 	2.274 	2.681 	1.257 	39.700 	9.070 	12.495 	1.050 	1.186 
ASGR1	1.000 	1.000 	16.703 	1.000 	1.000 	2.499 	3.690 	5.797 	1.000 	1.000 	1.161 	1.049 	1.294 
RP1-313I6.12	34.843 	12.831 	6.425 	18.749 	2.753 	6.576 	5.102 	1.747 	11.455 	22.777 	15.636 	1.047 	1.000 
PIGR	1.564 	60.776 	1.056 	1.662 	1.027 	16.349 	1.088 	1.014 	1.519 	1.237 	2.762 	1.046 	1.013 
ERBB3	1.704 	34.104 	1.060 	1.971 	1.044 	17.873 	1.152 	1.054 	1.696 	1.277 	1.437 	1.046 	1.043 
LAMC2	1.000 	27.152 	1.000 	1.000 	1.000 	3.258 	1.000 	1.000 	1.000 	1.000 	1.000 	1.045 	1.439 
RHOH	53.618 	1.235 	10.354 	52.264 	1.334 	4.265 	16.281 	1.055 	53.083 	16.187 	17.455 	1.045 	1.057 
STAT4	2.557 	1.097 	2.057 	16.326 	1.251 	2.134 	1.684 	1.115 	3.071 	1.974 	3.761 	1.045 	1.139 
ADRBK2	7.065 	1.000 	8.025 	1.000 	3.220 	1.000 	25.233 	1.000 	2.027 	5.855 	1.700 	1.045 	1.121 
