NAME	Neutrophils	Monocytes	MEP	CD4+ T-cells	NK cells	naive B-cells	HSC	MPP	CLP	GMP	Macrophages	CD8+ T-cells	Erythrocytes	Megakaryocytes	CMP	Macrophages M1	Macrophages M2	Endothelial cells	Plasma cells	Chondrocytes	Fibroblasts	Smooth muscle	Epithelial cells	Melanocytes	Skeletal muscle	Keratinocytes	mv Endothelial cells	Myocytes	Adipocytes	Neurons	Pericytes	Preadipocytes	Astrocytes	Mesangial cells
AJUBA	1.005 	1.000 	1.000 	1.000 	1.000 	1.000 	1.003 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	17.594 	1.000 	26.821 	16.377 	12.797 	38.813 	1.000 	1.000 	69.555 	22.676 	27.030 	1.221 	3.482 	26.704 	2.348 	10.625 	47.723 
AKAP12	1.000 	1.541 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.155 	175.735 	1.000 	134.140 	30.291 	42.749 	33.709 	13.581 	4.924 	2.543 	163.665 	44.271 	101.959 	26.562 	21.951 	109.045 	41.733 	68.518 
AKR1C1	1.026 	1.000 	12.377 	2.465 	1.000 	1.000 	2.771 	5.986 	1.004 	1.000 	1.245 	1.000 	29.600 	1.000 	1.000 	1.000 	1.000 	1.230 	1.000 	112.885 	24.323 	87.580 	1.511 	1.000 	102.264 	16.667 	1.000 	39.062 	97.259 	5.264 	3.260 	271.678 	1.570 	1.215 
ALAS2	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.941 	1.000 	1.000 	1.000 	1.000 	656.796 	6.151 	1.305 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
ALDH1A3	1.808 	1.006 	1.034 	1.003 	1.011 	1.018 	1.413 	1.048 	1.418 	1.034 	1.000 	1.002 	1.195 	1.002 	1.000 	1.000 	1.001 	6.399 	1.016 	7.029 	13.262 	31.577 	74.120 	7.174 	7.817 	831.581 	10.746 	34.885 	19.477 	26.007 	55.705 	38.119 	48.424 	7.143 
ALDOC	8.845 	3.126 	20.277 	11.617 	13.249 	5.665 	17.117 	35.031 	11.540 	6.857 	5.048 	8.911 	21.086 	34.227 	1.906 	1.824 	2.428 	5.689 	10.421 	14.716 	24.782 	41.984 	13.758 	5.444 	1.000 	24.915 	6.051 	12.454 	17.558 	10248.629 	6.352 	10.138 	13.411 	11.094 
ALOX5	256.292 	79.329 	1.000 	1.000 	1.000 	105.167 	1.000 	1.000 	1.000 	1.000 	38.044 	6.307 	1.000 	1.000 	70.463 	1.000 	1.000 	1.000 	12.388 	1.000 	1.000 	1.000 	1.000 	1.000 	1.626 	1.000 	1.000 	1.000 	17.208 	1.000 	1.000 	1.000 	1.000 	1.094 
AMHR2	1.005 	1.000 	10.041 	1.000 	1.000 	1.000 	1.029 	1.271 	1.000 	1.000 	1.000 	1.000 	35.983 	23.161 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
AMICA1	602.096 	128.740 	1.000 	58.219 	1.000 	1.000 	90.455 	39.367 	31.514 	34.413 	84.998 	56.185 	1.000 	1.000 	9.552 	10.631 	3.954 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
AMIGO2	1.000 	1.000 	1.000 	6.697 	3.229 	2.447 	1.000 	1.000 	1.000 	1.000 	1.000 	3.897 	6.862 	1.704 	1.000 	1.000 	7.093 	1.815 	5.683 	1.000 	1.261 	5.739 	30.316 	1.158 	1.000 	28.831 	1.000 	10.393 	3.321 	1.000 	26.408 	1.000 	17.427 	98.545 
ANGPT2	1.000 	1.000 	5.167 	1.000 	1.000 	1.000 	1.257 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	158.909 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	302.025 	1.000 	2.769 	10.056 	1.050 	1.000 	1.024 	1.000 
ANK1	1.774 	1.030 	12.504 	1.003 	1.008 	3.807 	1.375 	3.158 	1.365 	1.026 	1.000 	1.001 	35.197 	11.860 	1.000 	1.000 	1.001 	1.000 	11.691 	1.008 	1.000 	1.000 	1.000 	1.000 	122.362 	1.000 	1.000 	11.443 	1.000 	20.387 	1.000 	1.279 	4.104 	1.000 
ANKRD1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	229.826 	1.000 	1.128 	2.049 	1.000 	4.237 	1.000 	24.873 	1.000 	209.603 	814.685 	1.000 	1.000 	2.540 	1.000 	15.913 	30.907 
ANKRD2	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	352.857 	1.097 	1.000 	1.659 	1.000 	1.000 	1.000 	1.000 	1.000 	1.010 
ANTXR1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.266 	1.000 	199.515 	50.670 	33.329 	4.207 	42.349 	4.766 	7.169 	1.000 	64.496 	17.708 	3.012 	88.293 	10.329 	24.558 	13.415 
ANXA3	136.638 	2.084 	8.802 	1.314 	1.492 	1.590 	13.661 	4.220 	9.259 	1.822 	1.059 	94.436 	8.368 	19.439 	2.725 	1.164 	1.212 	34.488 	1.576 	1.013 	2.626 	1.608 	142.623 	2.758 	6.922 	221.585 	103.156 	1.173 	34.452 	1.245 	27.835 	1.705 	31.158 	54.733 
ANXA8	3.746 	1.375 	1.793 	1.305 	1.482 	1.578 	2.796 	1.888 	2.885 	1.808 	1.047 	1.235 	2.412 	1.298 	1.995 	1.158 	1.205 	1.045 	1.563 	1.013 	1.035 	1.041 	2.061 	1.122 	1.440 	101.079 	1.063 	1.045 	1.183 	1.238 	3.528 	1.162 	1.129 	1.553 
ANXA8L1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.721 	1.000 	1.000 	107.694 	1.000 	1.000 	1.000 	1.000 	3.670 	1.000 	1.519 	1.541 
AOAH	91.600 	141.547 	13.134 	6.253 	150.004 	2.249 	8.405 	10.951 	4.654 	7.324 	48.556 	35.197 	2.976 	2.664 	22.956 	37.239 	11.482 	1.000 	1.009 	1.000 	1.000 	1.000 	1.000 	1.000 	1.004 	1.000 	1.000 	1.000 	2.547 	2.544 	1.000 	1.000 	1.000 	1.000 
AOC3	7.064 	1.002 	1.019 	1.001 	1.005 	1.010 	1.328 	1.025 	1.299 	1.018 	1.000 	1.000 	1.118 	1.001 	1.000 	1.000 	1.139 	1.000 	1.009 	1.000 	1.000 	1.000 	1.000 	1.000 	2.264 	1.000 	1.000 	1.000 	87.927 	1.000 	1.000 	1.000 	1.000 	1.000 
AOX1	1.435 	1.000 	1.007 	1.000 	1.001 	1.003 	1.408 	1.058 	3.682 	2.521 	1.000 	1.000 	1.046 	1.000 	1.000 	1.694 	1.788 	1.028 	1.003 	53.759 	20.861 	10.604 	1.893 	1.000 	13.249 	7.668 	4.193 	46.443 	146.274 	5.160 	1.815 	111.214 	1.461 	2.108 
APLN	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	58.444 	1.000 	1.559 	1.000 	1.000 	1.000 	1.000 	1.000 	2.294 	135.432 	1.768 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
APOBEC3A	420.060 	91.088 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.287 	1.000 	5.688 	1.000 	1.327 	1.842 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
APOBEC3C	1.000 	6.865 	163.435 	3.131 	18.612 	13.340 	72.119 	90.270 	29.629 	133.875 	7.316 	3.355 	110.379 	88.932 	5.676 	5.672 	4.963 	1.197 	20.330 	4.402 	6.498 	2.847 	3.951 	5.433 	1.000 	21.256 	1.835 	2.109 	1.505 	1.000 	3.604 	4.596 	10.606 	7.919 
APOC1	1.000 	1.000 	38.475 	1.000 	1.000 	1.000 	1.269 	2.808 	1.389 	1.000 	630.407 	1.000 	172.637 	6.140 	1.000 	1663.761 	2736.450 	1.000 	1.000 	1.000 	1.743 	1.000 	1.353 	1.641 	3.434 	4.271 	1.000 	6.780 	23.930 	3.680 	1.264 	1.696 	1.000 	2.642 
APOD	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.797 	2.243 	1.007 	1.820 	1.000 	1.000 	75.100 	287.660 	1.000 	3.577 	1.207 	476.594 	16.180 	1.000 	65.084 	1.000 	1.000 
APOE	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1821.626 	1.000 	10.866 	1.000 	1.000 	1776.093 	1522.071 	1.000 	1.000 	1.000 	10.493 	2.504 	12.419 	77.290 	16.978 	62.544 	1.000 	31.062 	264.027 	3.363 	3.659 	43.413 	14.907 	40.390 
AQP1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.673 	1.000 	1.000 	1.469 	3.188 	1.000 	1.000 	53.732 	1.000 	1.000 	28.868 	155.727 	1.000 	1.066 	2.554 	1.000 	2.035 
AQP7	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.538 	1.000 	1.000 	1.000 	87.393 	1.000 	1.000 	1.000 	1.000 	1.000 
AQP9	726.291 	132.747 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	126.019 	1.000 	1.000 	1.000 	1.101 	174.028 	394.149 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.483 	1.000 	1.000 	1.517 	1.000 	1.000 
