NAME	Neutrophils	Monocytes	MEP	CD4+ T-cells	NK cells	naive B-cells	HSC	MPP	CLP	GMP	Macrophages	CD8+ T-cells	Erythrocytes	Megakaryocytes	CMP	Macrophages M1	Macrophages M2	Endothelial cells	Plasma cells	Chondrocytes	Fibroblasts	Smooth muscle	Epithelial cells	Melanocytes	Skeletal muscle	Keratinocytes	mv Endothelial cells	Myocytes	Adipocytes	Neurons	Pericytes	Preadipocytes	Astrocytes	Mesangial cells
IL1B	59.578 	729.930 	23.468 	1.000 	1.000 	1.000 	29.420 	36.816 	6.883 	7.453 	6.851 	1.000 	11.198 	20.646 	5.454 	145.320 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	113.533 	1.000 	33.414 	1.000 	1.000 	103.554 	1.000 	1.000 	1.000 
IL1R2	207.107 	9.588 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.122 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.276 	9.279 	1.000 	1.000 	7.373 	1.000 	1.000 	1.000 	1.000 	1.000 
IL1RN	71.465 	72.951 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	4.067 	127.810 	1.000 	7.313 	1.000 	1.000 	431.979 	957.395 	1.000 	1.000 	1.000 	1.000 	1.000 	1.567 	1.000 	1.000 	7.551 	1.000 	1.000 	1.642 	1.000 	1.000 	1.000 	1.000 	1.000 
IL20RB	1.000 	1.000 	1.000 	1.468 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.134 	1.000 	1.000 	1.000 	1.000 	57.609 	1.000 	1.044 	1.000 	1.000 	1.000 	1.089 	1.183 	1.000 
IL24	1.000 	1.000 	1.000 	1.000 	1.000 	1.462 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.500 	1.000 	4.841 	1.000 	1.000 	1.000 	1.000 	70.070 	1.000 	1.000 	1.000 
IL2RB	1.000 	1.000 	1.000 	3.077 	174.937 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	6.655 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.656 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.031 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
IL2RG	58.268 	16.939 	177.813 	55.595 	119.982 	67.588 	135.251 	163.291 	342.422 	428.860 	9.637 	77.339 	38.216 	23.357 	31.897 	43.226 	22.638 	1.000 	68.282 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.814 	1.000 	1.000 	1.000 	1.000 	1.000 
IL32	9.476 	2.398 	1.000 	96.556 	119.755 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	78.819 	1.000 	1.000 	1.461 	7.116 	1.000 	34.836 	1.000 	1.123 	2.948 	1.814 	24.042 	1.000 	21.840 	6.394 	145.862 	90.038 	3.970 	1.000 	4.095 	1.263 	4.638 	71.518 
IL33	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.890 	1.000 	1.000 	1.613 	60.893 	1.252 	1.000 	1.000 	1.041 	1.229 	38.904 	4.132 	6.582 	49.018 	2.475 	1.596 	1.000 
IL7R	1.000 	3.201 	1.000 	422.856 	1.000 	2.087 	1.000 	1.000 	23.044 	4.449 	3.245 	290.686 	1.000 	1.000 	1.847 	18.498 	1.205 	1.000 	1.000 	19.234 	2.323 	1.132 	1.000 	1.000 	1.000 	1.713 	1.027 	1.739 	4.848 	1.000 	5.043 	1.401 	2.006 	1.070 
INHBA	1.000 	1.612 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	3.060 	1.000 	1.622 	1.000 	1.771 	1.000 	21.015 	2.101 	13.572 	2.696 	1.000 	1.000 	34.307 	1.299 	17.601 	1.000 	1.000 	52.798 	1.000 	14.137 	11.816 
IRF4	1.000 	4.804 	1.000 	7.955 	2.318 	25.359 	1.000 	1.751 	6.246 	1.000 	1.995 	3.514 	1.000 	1.000 	1.000 	1.000 	1.471 	1.000 	247.538 	1.000 	1.000 	1.000 	1.000 	89.835 	1.000 	1.000 	1.000 	1.000 	1.012 	1.000 	1.000 	2.662 	1.000 	1.000 
IRF6	1.000 	1.000 	1.533 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	8.299 	1.000 	1.000 	1.000 	1.000 	1.472 	1.000 	1.000 	1.000 	1.000 	32.516 	1.000 	1.000 	59.203 	1.000 	1.000 	1.000 	30.626 	1.000 	1.000 	1.000 	1.969 
ISG15	20.654 	26.275 	28.886 	11.511 	54.261 	18.456 	18.210 	22.781 	24.361 	22.804 	11.007 	40.618 	11.662 	10.437 	6.096 	100.966 	25.584 	22.511 	25.043 	7.494 	24.270 	30.117 	21.430 	1320.903 	4.549 	11.495 	101.088 	24.231 	7.455 	9.709 	40.487 	17.512 	28.292 	22.326 
ISG20	42.692 	10.946 	22.347 	52.786 	54.590 	140.420 	34.558 	23.179 	46.458 	34.318 	1.122 	59.043 	25.580 	1.000 	1.260 	1.640 	1.000 	4.369 	745.327 	1.911 	1.000 	1.209 	2.580 	58.023 	1.000 	6.973 	5.655 	1.064 	2.952 	1.628 	1.336 	1.299 	1.000 	1.316 
ISLR	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	126.908 	51.029 	38.393 	1.000 	1.000 	12.141 	1.000 	1.000 	5.215 	21.288 	1.000 	7.765 	4.085 	3.094 	12.258 
ISY01	7.007 	2.118 	95.105 	5.225 	5.303 	3.087 	31.854 	54.663 	36.543 	38.238 	2.003 	5.696 	9.673 	1.932 	1.652 	3.876 	7.718 	13.773 	1.831 	1.953 	8.283 	6.764 	16.346 	6.924 	4.233 	5.538 	13.984 	4.334 	5.008 	1.009 	14.231 	1.253 	17.142 	54.583 
ITGA1	1.012 	1.000 	1.000 	1.000 	1.000 	1.000 	2.727 	1.000 	1.914 	1.000 	1.000 	8.014 	1.000 	1.000 	2.171 	1.000 	1.000 	4.904 	1.000 	16.593 	5.673 	16.145 	1.510 	3.240 	6.783 	3.134 	7.689 	6.822 	14.713 	3.366 	109.058 	1.519 	1.684 	8.143 
ITGA11	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.243 	1.000 	128.017 	11.645 	12.954 	1.000 	1.000 	1.333 	1.000 	1.000 	29.585 	1.000 	1.000 	36.303 	1.000 	53.166 	20.801 
ITGA2B	1.000 	7.826 	13.481 	1.000 	1.000 	1.000 	1.000 	3.004 	1.000 	1.000 	1.000 	1.000 	29.529 	116.397 	1.133 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
ITGA3	1.010 	1.000 	1.000 	2.161 	1.000 	1.000 	1.061 	1.000 	1.001 	1.000 	14.044 	1.682 	1.000 	1.000 	1.000 	50.603 	93.486 	46.221 	6.101 	28.247 	46.631 	67.255 	304.915 	34.139 	9.863 	468.642 	74.267 	117.879 	12.362 	8.612 	151.510 	38.446 	100.755 	670.713 
ITGA7	1.013 	1.000 	1.001 	1.000 	1.000 	1.000 	1.006 	1.000 	1.001 	1.000 	1.039 	1.000 	1.000 	1.000 	1.264 	1.000 	2.617 	1.000 	1.000 	7.109 	2.732 	12.086 	1.000 	1.263 	47.115 	1.000 	1.000 	101.840 	70.745 	3.918 	1.000 	5.797 	13.830 	1.455 
ITGAM	110.964 	69.761 	2.918 	1.000 	156.865 	6.065 	1.066 	1.543 	1.903 	3.269 	79.231 	13.725 	1.000 	1.000 	2.952 	133.119 	192.780 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	9.084 	1.000 	1.000 	1.000 	1.000 	1.020 
ITGAX	454.881 	99.169 	1.413 	1.000 	33.443 	1.000 	2.752 	1.477 	1.991 	1.748 	103.273 	1.000 	1.000 	1.000 	6.180 	140.099 	120.096 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.445 	1.000 	1.000 	1.000 	1.000 	2.368 	1.000 	1.000 	1.179 	1.000 	1.000 
ITGB2	444.686 	367.385 	31.266 	126.673 	454.881 	79.816 	25.402 	42.723 	15.754 	37.856 	878.270 	129.824 	3.159 	1.000 	93.013 	757.339 	606.832 	1.000 	80.108 	3.269 	1.000 	1.000 	1.000 	1.000 	10.002 	1.178 	1.000 	3.912 	95.731 	1.000 	1.000 	1.000 	1.000 	1.002 
ITGB3	1.012 	5.410 	1.000 	1.000 	1.000 	1.000 	1.005 	1.000 	1.001 	1.000 	2.632 	1.000 	4.489 	109.550 	1.000 	4.477 	1.783 	49.598 	1.000 	7.050 	2.427 	8.134 	18.454 	7.812 	1.000 	1.000 	30.222 	16.789 	3.193 	1.000 	36.739 	56.266 	2.993 	79.503 
ITGB4	4.187 	1.000 	1.000 	1.000 	1.000 	1.000 	1.005 	1.000 	1.001 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.668 	3.557 	1.000 	1.000 	1.000 	19.716 	1.000 	2.645 	638.179 	2.779 	1.000 	2.998 	1.000 	1.000 	1.000 	1.000 	20.831 
ITGB6	1.010 	1.000 	1.001 	1.000 	1.000 	1.000 	1.006 	1.000 	1.001 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	26.169 	1.000 	1.000 	26.244 	1.000 	6.859 	1.000 	1.000 	1.000 	1.000 	1.000 	4.972 
ITGB8	1.010 	1.952 	1.000 	1.000 	1.000 	1.000 	1.917 	1.283 	1.905 	1.000 	1.242 	1.000 	1.000 	1.000 	1.000 	8.532 	2.457 	2.138 	1.000 	13.823 	3.042 	12.834 	13.156 	197.987 	1.000 	11.730 	1.000 	5.080 	1.400 	1.613 	1.406 	2.514 	16.457 	12.720 
ITGBL1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.640 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.817 	1.000 	31.314 	16.314 	75.214 	1.000 	1.000 	1.011 	1.126 	2.684 	129.828 	1.392 	1.000 	26.568 	35.439 	3.476 	1.049 
ITIH5	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.005 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.162 	1.000 	1.000 	1.000 	1.000 	3.209 	1.000 	1.000 	1.000 	67.817 	1.000 	1.000 	1.000 	1.074 	1.047 
ITK	1.000 	1.000 	1.000 	282.335 	67.880 	1.000 	1.188 	1.000 	1.000 	1.000 	1.000 	112.775 	1.000 	1.000 	1.000 	1.000 	2.112 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.065 	1.000 	1.000 	1.000 	1.000 	1.000 
ITM2A	1.000 	1.407 	105.146 	90.444 	55.380 	4.847 	182.451 	199.647 	167.362 	123.268 	1.000 	179.981 	64.254 	57.996 	25.569 	1.000 	1.000 	10.538 	4.217 	1.231 	1.000 	1.000 	1.000 	51.511 	11.276 	4.713 	62.346 	1.000 	16.272 	5.881 	1.000 	1.000 	1.000 	1.000 
ITM2C	1.000 	2.534 	18.343 	7.010 	1.000 	50.807 	27.150 	30.321 	28.930 	45.599 	1.827 	29.259 	1.188 	2.767 	77.068 	1.000 	1.266 	3.455 	438.133 	27.177 	27.818 	39.826 	22.448 	40.544 	4.350 	8.137 	1.728 	56.152 	5.094 	4.623 	35.080 	5.782 	64.989 	81.876 
ITPR1	10.178 	15.777 	13.497 	22.633 	14.039 	160.630 	15.972 	19.481 	14.750 	10.535 	17.459 	15.302 	4.160 	21.243 	13.926 	21.686 	3.257 	4.167 	3.259 	9.896 	1.901 	10.771 	1.863 	3.162 	4.354 	1.111 	5.222 	4.962 	7.335 	2009.887 	9.764 	2.569 	1.108 	1.038 
JUP	1.000 	8.529 	32.037 	1.000 	1.000 	29.643 	31.474 	91.115 	47.559 	34.883 	3.824 	3.796 	4.328 	11.125 	3.271 	1.788 	1.826 	116.472 	1.000 	1.563 	7.559 	4.245 	207.456 	1.156 	45.120 	254.837 	76.879 	5.019 	13.359 	1.000 	103.759 	1.186 	30.694 	198.329 
KANK2	1.019 	1.000 	3.102 	1.000 	1.000 	1.000 	2.614 	4.841 	2.202 	4.057 	1.272 	1.000 	6.865 	2.527 	1.889 	1.809 	1.000 	29.136 	3.308 	118.036 	136.347 	180.412 	21.692 	30.854 	35.983 	6.660 	29.112 	111.594 	134.969 	1.000 	167.408 	128.895 	48.217 	97.320 
KC0B1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.006 	1.000 	1.349 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.473 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.215 	194.226 	1.000 	1.000 	8.170 	1.000 
KCNE4	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	19.093 	3.022 	3.953 	1.000 	4.514 	1.829 	1.000 	1.000 	53.082 	1.207 	1.000 	1.028 	1.000 	1.933 	1.000 
KCNH2	1.000 	1.000 	7.989 	1.437 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	23.593 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.150 	1.000 	2.911 	1.000 	1.000 	3.010 	1.027 
KCNIP4	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.663 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	492.198 	1.000 	1.000 	1.000 	1.000 
KCNN3	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	41.667 	1.000 	1.000 	1.000 	1.000 	1.000 	7.509 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
KCTD8	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	116.220 	1.000 	1.000 	1.000 	1.000 
KDR	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	140.350 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	5.456 	1.000 	93.629 	1.966 	23.897 	1.000 	1.524 	1.000 	1.000 	1.000 
KEL	1.000 	1.000 	11.289 	1.000 	1.000 	1.000 	1.000 	1.028 	1.000 	1.000 	1.181 	1.000 	37.492 	15.748 	1.000 	1.437 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
KIAA0101	1.000 	1.000 	149.527 	1.000 	2.023 	1.000 	51.363 	53.730 	120.168 	112.586 	2.404 	4.983 	780.022 	80.070 	33.762 	6.270 	1.242 	8.914 	2.002 	25.259 	7.224 	5.781 	6.596 	9.477 	1.000 	15.504 	12.882 	3.028 	1.000 	1.237 	7.234 	24.362 	9.442 	5.550 
KIAA0125	1.000 	1.000 	51.753 	1.000 	1.000 	67.863 	194.222 	124.224 	198.494 	196.021 	1.000 	1.941 	13.631 	43.012 	1.000 	1.000 	1.000 	1.000 	204.041 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
KIAA1107	1.000 	1.000 	1.000 	3.102 	1.786 	1.000 	2.062 	1.000 	1.000 	1.000 	1.145 	1.905 	1.000 	1.126 	1.714 	1.000 	1.546 	1.000 	1.000 	1.165 	1.000 	1.147 	1.000 	1.000 	1.000 	1.023 	1.000 	1.104 	1.023 	243.311 	1.000 	1.000 	1.229 	1.000 
KIRREL	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.291 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	9.544 	1.000 	67.060 	47.221 	51.445 	30.879 	41.861 	3.014 	53.513 	8.675 	28.518 	17.891 	1.000 	78.828 	49.198 	30.788 	178.533 
KIT	1.000 	1.000 	42.777 	1.000 	1.000 	1.000 	48.885 	52.223 	22.490 	40.688 	1.000 	1.000 	29.989 	5.506 	20.106 	1.000 	1.000 	3.892 	1.000 	1.015 	1.000 	1.000 	1.000 	19.400 	1.000 	1.000 	1.000 	1.000 	1.378 	1.000 	1.000 	1.000 	1.000 	1.000 
KLF1	1.000 	1.000 	3.436 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	31.912 	1.000 	1.217 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
KLK5	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.195 	1.000 	1.000 	64.934 	1.000 	1.000 	1.000 	2.149 	1.000 	1.000 	1.000 	1.000 
KLRB1	1.000 	1.000 	1.000 	5.173 	250.042 	1.000 	1.000 	1.000 	9.566 	1.000 	1.000 	21.043 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
KLRC4-KLRK1	1.000 	1.000 	1.000 	1.498 	74.995 	3.875 	1.000 	1.000 	1.000 	1.000 	1.000 	59.774 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
KLRD1	1.000 	1.000 	1.000 	1.000 	268.439 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
KLRF1	1.000 	1.000 	1.681 	1.000 	287.660 	1.000 	1.253 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.027 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
KLRG1	1.000 	1.203 	24.406 	7.657 	57.054 	1.834 	27.777 	28.961 	1.000 	19.978 	1.562 	16.027 	1.582 	11.263 	1.159 	1.527 	2.253 	1.105 	1.309 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.268 	4.988 	1.000 	1.000 	1.245 	1.000 
KLRK1	1.000 	1.508 	1.000 	3.605 	311.419 	39.414 	1.000 	1.000 	1.000 	1.000 	1.000 	207.107 	1.000 	1.000 	1.258 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.014 	1.000 	1.000 	1.000 	1.000 	1.000 
KRT14	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.114 	1.000 	1.000 	5440.122 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
KRT16	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.031 	1.000 	1.000 	1.614 	1.000 	1.000 	145.736 	1.000 	1.000 	1.652 	1.000 	1.000 	1.000 	1.000 	1.000 
KRT17	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	92.909 	1.000 	1.000 	6102.073 	1.000 	1.291 	1.000 	3.852 	1.041 	1.000 	6.483 	4.775 
KRT18	1.000 	1.000 	6.434 	3.378 	1.000 	1.637 	21.802 	8.626 	1.110 	5.922 	1.000 	1.000 	1.000 	1.000 	3.818 	1.000 	1.000 	110.766 	15.561 	1.036 	57.742 	8.242 	232.399 	1.000 	1.000 	213.381 	106.135 	48.630 	1.678 	1.000 	1155.035 	1.098 	633.555 	482.836 
KRT19	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.695 	1.000 	1.000 	1.000 	1.000 	5.520 	1.000 	1.000 	15.958 	24.518 	699.224 	1.000 	1.000 	8.195 	23.273 	17.418 	2.193 	1.000 	85.016 	2.504 	132.440 	908.948 
KRT5	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.090 	1.000 	1.000 	7790.238 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
KRT6A	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	26.658 	1.000 	1.000 	2137.328 	1.000 	1.000 	1.000 	1.000 	3.719 	1.000 	1.000 	1.000 
KRT6B	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	537.361 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
KRT7	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	34.761 	1.000 	4.500 	3.144 	1.575 	369.658 	1.000 	1.000 	105.952 	105.545 	3.288 	1.014 	1.000 	1.205 	1.000 	11.925 	46.361 
KRT79	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	4.649 	1.000 	1.000 	1.000 	1.000 	3.715 	104.750 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
KRT8	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	3.772 	3.441 	1.000 	1.792 	1.000 	1.000 	1.000 	1.299 	1.682 	1.000 	1.000 	4.265 	2.446 	2.154 	4.733 	2.092 	181.370 	1.000 	1.000 	38.231 	4.623 	2.243 	2.390 	1.000 	103.586 	1.000 	246.427 	529.855 
KYNU	1.000 	83.781 	1.000 	1.000 	1.000 	19.525 	1.000 	1.000 	1.000 	3.726 	72.649 	1.000 	1.000 	4.238 	1.000 	271.961 	47.789 	1.000 	1.000 	4.745 	1.000 	1.000 	1.201 	83.739 	1.000 	1.090 	1.080 	1.000 	1.835 	1.000 	2.382 	5.482 	1.000 	1.000 
L1CAM	1.668 	1.003 	1.020 	1.002 	1.006 	1.011 	1.340 	1.027 	1.314 	1.020 	1.000 	1.001 	1.128 	1.001 	1.000 	1.000 	1.000 	1.000 	1.009 	1.000 	1.000 	1.000 	1.002 	77.285 	1.005 	2.260 	1.000 	1.417 	1.000 	4.501 	2.689 	1.000 	1.000 	10.782 
LAD1	2.535 	1.053 	1.252 	1.034 	1.092 	1.142 	1.851 	1.309 	1.982 	1.258 	1.054 	1.023 	1.642 	1.032 	1.010 	1.352 	1.018 	1.003 	1.135 	1.000 	1.002 	1.002 	16.413 	1.010 	1.086 	64.799 	1.005 	1.561 	1.000 	1.024 	1.011 	1.015 	1.001 	17.634 
LAIR1	12.401 	44.244 	32.238 	20.923 	53.174 	38.315 	39.162 	65.724 	64.965 	50.239 	99.281 	27.698 	2.104 	1.000 	176.353 	101.091 	8.296 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	14.686 	1.000 	1.000 	1.000 	1.000 	1.000 
LAMA1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.340 	1.000 	1.000 	2.712 	3.018 	3.745 	2.114 	74.860 	1.000 	10.641 	1.000 	6.430 	1.000 	1.000 	4.005 	19.676 	1.995 	4.938 
LAMA3	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.029 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.902 	1.000 	1.303 	1.064 	2.418 	78.368 	1.000 	1.000 	486.843 	2.564 	1.531 	9.624 	1.000 	1.000 	1.723 	1.000 	10.990 
LAMA4	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	288.451 	1.000 	251.681 	178.950 	223.642 	1.112 	17.024 	4.087 	1.026 	165.550 	37.348 	127.603 	4.700 	45.288 	348.664 	89.311 	1.729 
LAMA5	1.000 	1.000 	1.000 	1.000 	1.000 	9.193 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	19.743 	57.389 	1.137 	15.554 	18.093 	39.095 	1.000 	9.001 	52.474 	45.992 	5.558 	15.683 	1.000 	21.551 	28.864 	8.607 	300.915 
LAMB1	1.000 	1.000 	1.998 	1.000 	1.000 	1.000 	2.909 	5.739 	6.590 	5.946 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	284.327 	1.000 	83.277 	221.947 	254.721 	97.745 	107.676 	18.912 	54.058 	145.640 	101.340 	174.937 	16.291 	172.658 	277.726 	117.521 	180.179 
